City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Gahanna,US,2022-06-09 19:23:35,40.0192,-82.8793,296.1,64,75,5.14
68,Kodiak,US,2022-06-09 19:23:36,57.79,-152.4072,286.88,72,75,5.14
69,Provideniya,RU,2022-06-09 19:23:36,64.3833,-173.3,280.83,50,6,1.41
70,Belyy Yar,RU,2022-06-09 19:23:36,53.6039,91.3903,280.85,73,0,3.0
71,Longyearbyen,SJ,2022-06-09 19:22:34,78.2186,15.6401,276.06,87,75,5.66
72,Sturgis,US,2022-06-09 19:23:37,41.7992,-85.4192,295.97,59,40,4.63
73,Oyama,JP,2022-06-09 19:23:37,36.3,139.8,292.92,87,100,0.9
74,Sao Filipe,CV,2022-06-09 19:23:38,14.8961,-24.4956,297.36,80,32,4.06
75,Caravelas,BR,2022-06-09 19:23:38,-17.7125,-39.2481,298.17,64,0,2.78
76,Jasper,US,2022-06-09 19:23:39,37.2001,-94.3502,301.61,46,20,2.57
77,Kargasok,RU,2022-06-09 19:23:39,59.0556,80.8572,285.8,65,99,3.89
78,Tandalti,SD,2022-06-09 19:23:40,13.0167,31.8667,305.63,38,11,5.12
79,Cape Town,ZA,2022-06-09 19:20:20,-33.9258,18.4232,288.66,80,0,4.47
80,Tual,ID,2022-06-09 19:23:41,-5.6667,132.75,300.99,77,100,6.53
81,Itarema,BR,2022-06-09 19:23:41,-2.9248,-39.9167,298.98,85,100,5.13
82,Dikson,RU,2022-06-09 19:23:41,73.5069,80.5464,270.84,93,100,3.23
83,Taltal,CL,2022-06-09 19:23:42,-25.4,-70.4833,290.86,71,1,1.75
84,Carnarvon,AU,2022-06-09 19:23:42,-24.8667,113.6333,293.76,82,44,6.5
85,Lima Duarte,BR,2022-06-09 19:23:43,-21.8425,-43.7931,295.65,83,99,1.15
86,Upernavik,GL,2022-06-09 19:23:43,72.7868,-56.1549,273.04,97,100,3.86
87,Broome,US,2022-06-09 19:23:44,42.2506,-75.833,292.98,72,75,6.17
88,Hilo,US,2022-06-09 19:23:44,19.7297,-155.09,302.19,87,100,3.58
89,Chokurdakh,RU,2022-06-09 19:24:45,70.6333,147.9167,281.95,63,5,6.03
90,Bluff,NZ,2022-06-09 19:24:45,-46.6,168.3333,276.37,71,71,8.7
91,Ottumwa,US,2022-06-09 19:24:45,41.02,-92.4113,300.45,47,25,1.79
92,Toora-Khem,RU,2022-06-09 19:24:46,52.4675,96.11,277.28,90,100,1.58
93,San Andres,CO,2022-06-09 19:24:46,12.5847,-81.7006,302.16,79,75,5.14
94,Souillac,MU,2022-06-09 19:24:47,-20.5167,57.5167,295.36,73,40,4.63
95,Mecca,SA,2022-06-09 19:24:47,21.4267,39.8261,306.64,36,12,1.01
96,Marzuq,YE,2022-06-09 19:24:48,14.4,46.4667,300.36,41,10,2.23
97,Hermanus,ZA,2022-06-09 19:24:48,-34.4187,19.2345,283.04,75,6,2.8
98,Sokoni,TZ,2022-06-09 19:24:49,-6.4333,39.55,299.07,74,99,7.29
99,Turochak,RU,2022-06-09 19:24:49,52.2576,87.1224,280.08,73,99,1.68
100,Victoria,HK,2022-06-09 19:22:49,22.2855,114.1577,301.18,90,100,2.68
101,Umba,RU,2022-06-09 19:24:50,66.6871,34.3429,281.19,99,100,1.09
102,Torbay,CA,2022-06-09 19:24:50,47.6666,-52.7314,287.19,76,75,5.66
103,Bambous Virieux,MU,2022-06-09 19:24:51,-20.3428,57.7575,295.29,73,40,4.63
104,Bengkulu,ID,2022-06-09 19:24:51,-3.8004,102.2655,296.6,95,100,2.92
105,Mogadishu,SO,2022-06-09 19:24:31,2.0371,45.3438,299.52,83,70,8.12
106,Pangody,RU,2022-06-09 19:24:52,65.85,74.4859,288.69,43,7,3.61
107,Nemuro,JP,2022-06-09 19:24:52,43.3236,145.575,282.29,93,10,5.6
108,Naze,JP,2022-06-09 19:24:53,28.3667,129.4833,295.66,88,100,3.27
109,Pringsewu,ID,2022-06-09 19:24:53,-5.3582,104.9744,295.51,96,100,1.13
110,Mankera,PK,2022-06-09 19:24:08,31.3866,71.4407,310.69,9,3,5.97
111,Saint Anthony,US,2022-06-09 19:24:54,45.0205,-93.218,299.8,28,0,6.69
112,Ucluelet,CA,2022-06-09 19:24:54,48.9329,-125.5528,283.76,91,100,0.45
113,Msanga,TZ,2022-06-09 19:24:55,-6.05,36.0333,293.84,59,48,3.12
114,Pidhaytsi,UA,2022-06-09 19:24:55,49.2685,25.1334,291.57,72,39,3.81
115,Portland,US,2022-06-09 19:23:55,45.5234,-122.6762,292.71,63,100,2.68
116,Santa Marinella,IT,2022-06-09 19:24:56,42.0345,11.8536,296.0,77,6,7.48
117,Scarborough,GB,2022-06-09 19:24:56,54.2797,-0.4044,288.66,81,100,4.02
118,Xining,CN,2022-06-09 19:21:57,36.6167,101.7667,282.71,84,54,0.99
119,Nikolskoye,RU,2022-06-09 19:25:01,59.7035,30.7861,290.09,84,66,1.99
120,Kasaragod,IN,2022-06-09 19:25:01,12.5,75.0,299.1,86,85,0.41
121,Korla,CN,2022-06-09 19:25:02,41.7597,86.1469,300.23,12,100,1.72
122,Saskylakh,RU,2022-06-09 19:25:02,71.9167,114.0833,280.56,77,100,2.68
123,Severo-Kurilsk,RU,2022-06-09 19:25:03,50.6789,156.125,279.57,89,100,2.34
124,Clyde River,CA,2022-06-09 19:25:03,70.4692,-68.5914,273.28,86,100,4.12
125,Yumen,CN,2022-06-09 19:25:04,40.2833,97.2,293.29,12,0,4.09
126,Cayenne,GF,2022-06-09 19:25:04,4.9333,-52.3333,302.64,18,20,0.45
127,Saint-Paul,RE,2022-06-09 19:23:24,-21.0096,55.2707,293.91,77,43,0.85
128,Castro,BR,2022-06-09 19:24:49,-24.7911,-50.0119,288.19,94,100,1.65
129,Halifax,CA,2022-06-09 19:15:02,44.6453,-63.5724,291.22,95,100,4.12
130,Honiara,SB,2022-06-09 19:25:05,-9.4333,159.95,298.0,88,94,1.34
